# tau E Ek EV
0.000000000000000000e+00 -2.158775703551901459e-01 -4.073073525985912435e-01 1.914297822434010976e-01
5.000000000000000000e-01 -2.295026388860442468e-01 -4.337722159967678515e-01 2.042695771107235769e-01
1.000000000000000000e+00 -2.310214714532979607e-01 -4.364022270708924900e-01 2.053807556175943627e-01
1.500000000000000000e+00 -2.320638798938664538e-01 -4.381793665844046504e-01 2.061154866905382521e-01
2.000000000000000000e+00 -2.327921444578070764e-01 -4.394101426538648547e-01 2.066179981960577228e-01
2.500000000000000000e+00 -2.333097117186515024e-01 -4.402782518849392424e-01 2.069685401662877122e-01
3.000000000000000000e+00 -2.336831512858702220e-01 -4.409007082738604644e-01 2.072175569879902979e-01
3.500000000000000000e+00 -2.339560257854211844e-01 -4.413532676704704505e-01 2.073972418850493216e-01
4.000000000000000000e+00 -2.341574414943028148e-01 -4.416860133099948516e-01 2.075285718156918702e-01
