[1, 1, 4, 4] -3.288529104502098 -0.0 0.0
[1, 2, 3, 4] 3.288529104502109 -0.004508963414941005 -0.014827857421168713
[1, 2, 4, 3] 6.822479299282012 -0.0782645163436535 -0.5339580426228947
[1, 3, 2, 4] -3.2885291045020955 0.005602261190111256 -0.01842319897470341
[1, 3, 4, 2] -5.1013446594586396e-15 0.00029425722314719915 0.0
[1, 4, 1, 4] 3.288529104502106 -0.010322397033603438 -0.03394550307323111
[1, 4, 2, 3] 6.822479299282007 -0.08073181253337251 -0.5507911198024497
[1, 4, 3, 2] 5.101344659458656e-15 -0.051492758303732226 0.0
[1, 4, 4, 1] 1.0583399821522611e-14 -0.010322397033603438 0.0
[2, 1, 3, 4] 0.0 0.048951473400873524 0.0
[2, 1, 4, 3] 3.2885291045021083 -0.004566403047674487 -0.01501674932516468
[2, 2, 3, 3] -3.288529104502119 0.2945370998257908 -0.968593825132759
[2, 3, 1, 4] 0.0 -0.05077984813299006 0.0
[2, 3, 2, 3] 3.2885291045021057 -0.30747291907588975 -1.0111336432272842
[2, 3, 3, 2] 0.0 -0.35494790031925694 0.0
[2, 3, 4, 1] 5.101344659458655e-15 -0.05077984813299004 0.0
[2, 4, 1, 3] -3.2885291045021163 0.004566403047674537 -0.01501674932516488
[2, 4, 3, 1] -5.101344659458672e-15 -0.04895147340087351 0.0
[3, 1, 2, 4] -6.822479299281975 0.06804519287134952 -0.4642369197804315
[3, 1, 4, 2] -3.2885291045020475 0.003574054979475398 -0.011753383821095314
[3, 2, 1, 4] 6.822479299281998 -0.08058458526264083 -0.5497866647955922
[3, 2, 2, 3] 14.154116418008314 -0.7137483629410583 -10.10247742223059
[3, 2, 3, 2] 3.288529104502058 -0.30736590303224653 -1.0107817178531002
[3, 2, 4, 1] 6.822479299281907 -0.08058458526264081 -0.5497866647955848
[3, 3, 2, 2] -3.2885291045020346 0.15945546425210902 -0.5243739350649442
[3, 4, 1, 2] 3.2885291045020453 -0.003574054979475402 -0.01175338382109532
[3, 4, 2, 1] 6.8224792992818815 -0.06804519287134955 -0.46423691978042536
[4, 1, 1, 4] 0.0 -0.010322397033603438 0.0
[4, 1, 2, 3] 6.822479299281997 -0.0807318125333725 -0.5507911198024488
[4, 1, 3, 2] 0.0 -0.05149275830373221 0.0
[4, 1, 4, 1] 3.2885291045020577 -0.010322397033603437 -0.033945503073230604
[4, 2, 1, 3] -6.822479299282019 0.07826451634365349 -0.5339580426228951
[4, 2, 3, 1] -3.2885291045020684 0.004508963414941006 -0.014827857421168536
[4, 3, 1, 2] 0.0 -0.00029425722314719964 0.0
[4, 3, 2, 1] 3.288529104502045 -0.005602261190111261 -0.018423198974703143
[4, 4, 1, 1] -3.288529104502056 -0.0 0.0
