step Ek EV E sign nup ndn
100 -4.675041349288647 1.433743438549442 -3.2412979107392066 0.28 [0.11431766762320422, 0.13709008093320954, 0.18412474685400135, 0.08964343585114377, 0.0959003329479754, 0.13834983410193852, 0.11473071199186866, 0.13413660179007192, 0.07313977437729101, 0.17875232524090426, 0.006512323453829285, 0.17508294329184226, 0.09340010314620086, 0.15466032340364425, 0.16997221397143025, 0.10018658102144411] [0.14270916305628925, 0.11657521017751744, 0.06974982006558628, 0.1529523061276514, 0.14914349064186994, 0.09367283456704226, 0.17225151845504122, 0.10658380155282242, 0.1280631425657735, 0.07385773329685741, 0.19808309269602947, 0.06971658320910007, 0.13511473152290063, 0.08874717132098559, 0.09085783080770808, 0.17192156993682509]
200 -5.9407564302413265 1.7180938955841676 -4.22266253465716 0.47 [0.20759853945097742, 0.07234403505597382, 0.41663274126282035, 0.019324539927258976, 0.23029712235928393, 0.24060077478185027, 0.17857039243482123, 0.36400530399013775, 0.0762488593645725, 0.18111040650999988, 0.20531566285599326, 0.2588525989359727, 0.30683124911185194, 0.20334333429608054, 0.3237447692501362, 0.005179670412269738] [0.16079904312197055, 0.34596739049932174, 0.04250503544776354, 0.4445588887326595, 0.19796236524776972, 0.14472630258660657, 0.25415850305080834, 0.048876351312699934, 0.31121721180426365, 0.1089578932956475, 0.21309450644811442, 0.1340963315416057, 0.11267994334918122, 0.29453149833770115, 0.07665120511730045, 0.39921753010658617]
300 -5.632159625246873 1.48169126985698 -4.150468355389889 0.45 [0.1440514517829494, 0.2691821742867873, 0.3576061039403296, 0.050089411834238096, 0.05075481837945078, 0.3055962195607634, 0.1721614812315382, 0.2760407568790358, 0.09362429812477874, 0.2542856062593755, 0.10892632196504426, 0.2838779423584247, 0.3312799717931953, 0.13909190256594015, 0.27650860062389593, 0.03692293841425302] [0.27738059489589534, 0.15507620197626662, 0.06686699240930985, 0.3199343653110079, 0.3544719304927558, 0.0999168472602364, 0.2105744031746873, 0.048622063205332806, 0.30866317291342255, 0.11995811538616014, 0.25729885253607554, 0.1036100154580442, 0.05418577351430845, 0.27297196587593164, 0.14640919166849561, 0.3540595139220696]
400 -8.190135999257752 2.5079237695402403 -5.68221222971751 0.55 [0.3230884780166244, 0.1443382016542893, 0.3768417712643995, 0.03941549818955999, 0.19089529147899875, 0.18792247832541015, 0.2720314857634878, 0.36686044799712236, 0.22836142237094767, 0.19365602936959334, 0.28746993635498735, 0.2972753285240785, 0.40779477932955777, 0.05852178730621298, 0.3434827573883602, 0.13204430666637004] [0.1821100107888105, 0.3399003374391667, 0.10040132584647621, 0.5107056077927963, 0.29293172499800874, 0.2924976456640513, 0.19660431709022713, 0.0766817103444377, 0.26310308664128895, 0.2653932500756675, 0.18412270695811625, 0.17465400065173978, 0.06672468092635103, 0.4241490174953483, 0.1374742060350494, 0.3425463712524644]
500 -8.05621715699232 2.3980895111862366 -5.658127645806078 0.56 [0.4537638337401443, 0.04904922173138163, 0.3016981628254488, 0.21601931216381343, 0.196178964231486, 0.3027021657886245, 0.08188664178355841, 0.2802359987976451, 0.13156322455352235, 0.38440133130329157, 0.11916679888830772, 0.28495213251593204, 0.3974085542424673, 0.08301215849716921, 0.3885157736149308, 0.24944572532227638] [0.03337865435509501, 0.4345865829088794, 0.22961077309425842, 0.3035111315937317, 0.2764862095426219, 0.12888053810374847, 0.36620523277259076, 0.20747897843830063, 0.3502564434847346, 0.0933716978629463, 0.33567856515983463, 0.19706429999323688, 0.0693041482418108, 0.4484727663085065, 0.14085501756015742, 0.3048589605795461]
600 -9.409157007833228 2.9761421645717996 -6.43301484326143 0.64 [0.3188975794488901, 0.23497219510758552, 0.3526407895795823, 0.11879063986811414, 0.23004033883596162, 0.4281482692726183, 0.14849999462050728, 0.48714694606359715, 0.25843760104368285, 0.22178319867128501, 0.1480931932712437, 0.4011534835386701, 0.42825694246519336, 0.15567709297485244, 0.45611416228800655, 0.09134757295021012] [0.2799451915968627, 0.3424878688739777, 0.23826929507651126, 0.4548597727748551, 0.3254916358872009, 0.15120754444990672, 0.41947916664852797, 0.07630266721740037, 0.23122747190177964, 0.32186780758306577, 0.38820572672200926, 0.15620203557672047, 0.09270291420589327, 0.41861303683743123, 0.12761040784674527, 0.45552745680111173]
700 -7.901356406893601 2.4554311174949732 -5.4459252893986285 0.49 [0.3167471227245047, 0.1002876929106297, 0.3373753889198882, 0.10258061634110557, 0.0959516190393256, 0.2647738175891044, 0.16359217183637387, 0.19472030763073697, 0.2232841953125242, 0.2700885587935703, 0.08210118909473758, 0.3517967763978313, 0.25803782548934356, 0.24009329399026896, 0.36081858858335736, 0.06775083534669817] [0.1373654966514784, 0.3548779201355145, 0.13939840954855068, 0.3382585256747639, 0.32776461064119716, 0.12723649553100308, 0.24458065050714053, 0.2337586643676435, 0.1445941414946348, 0.13204963177916626, 0.2896781107180962, 0.03386058685139104, 0.2246391256720141, 0.23139272686795578, 0.07800312730138673, 0.39254177625806397]
800 -8.66400518980878 2.4680874108171293 -6.195917778991656 0.62 [0.3622735671217994, 0.17213671847452378, 0.5760406646139704, 0.06338030303009744, 0.10571074977242417, 0.3692814596553729, 0.20168204771227793, 0.2883691275543965, 0.29813636930093496, 0.20574340547647008, 0.2468850680756626, 0.2820658072608704, 0.5219023317657668, 0.08122869353812981, 0.32542894708225467, 0.23973473956504843] [0.2089264754158036, 0.4154145290984932, 0.05292193179773998, 0.5189594339938656, 0.42847455073713325, 0.18287442698275416, 0.34229423273722837, 0.10968293875194472, 0.25439984349936295, 0.3475444330363166, 0.26375229387313637, 0.20082254563824312, 0.06628562748371977, 0.47288833961403964, 0.22188831789790173, 0.25287007944231693]
900 -6.760305878331245 1.7003792792680559 -5.059926599063185 0.57 [0.427313564046215, 0.06994063318390581, 0.43720538177937407, 0.06554121585092941, 0.13767067154001827, 0.2416347957398224, 0.274340896770059, 0.2072235783811887, 0.28681695268621327, 0.3804329819870945, 0.008617713005981754, 0.3358469368435986, 0.4709688876280414, 0.040002169384016344, 0.4153872593500367, 0.1910563618235047] [0.03506836259793269, 0.46416015998232896, 0.10588816186577653, 0.4792275434454513, 0.3386207097190823, 0.21355360423931194, 0.18633112808342608, 0.32408955529118055, 0.1149759465493921, 0.06514404013820829, 0.5101973823429614, 0.17905647872969227, 0.04604055562739604, 0.47479432554600387, 0.11822325079625473, 0.33462879504560084]
1000 -4.174793737004766 1.0226767986571912 -3.152116938347575 0.31 [0.30184245239278845, 0.06059837895168808, 0.29929013224707235, -0.01964230236476473, -0.04238833734451335, 0.2477481044133217, 0.0890825963684273, 0.04822887992337316, 0.09965072101923445, 0.2860603428283172, 0.02024847976937394, 0.30932123833699715, 0.20878473725839253, 0.06150005912226089, 0.21181772812776348, -0.012143211049732492] [0.027848306341341195, 0.18680189609995432, 0.0016635888372458895, 0.3365277408714238, 0.17318405370017184, 0.024142543342267068, 0.17380782607980336, 0.2625284318543638, 0.11238328091608396, -0.022696400270642143, 0.2278852673051854, -0.04034178612258943, 0.02791039992355265, 0.24703025024055025, 0.10408846380987519, 0.32723613707141264]
