# tau E Ek EV
0.000000000000000000e+00 -1.785952317122754818e-01 -3.391455891551228286e-01 1.605503574428472913e-01
5.000000000000000000e-01 -2.169028354406393744e-01 -4.109893446211154711e-01 1.940865091804760689e-01
1.000000000000000000e+00 -2.234650968173846342e-01 -4.228141337145628342e-01 1.993490368971781723e-01
1.500000000000000000e+00 -2.275897873057984022e-01 -4.301663645304978356e-01 2.025765772246995444e-01
2.000000000000000000e+00 -2.301466703766262833e-01 -4.346949872552702820e-01 2.045483168786439987e-01
2.500000000000000000e+00 -2.317341373629501766e-01 -4.374861668887676802e-01 2.057520295258175869e-01
3.000000000000000000e+00 -2.327316693392535440e-01 -4.392259086624416553e-01 2.064942393231881668e-01
3.500000000000000000e+00 -2.333703769655547655e-01 -4.403302487959278033e-01 2.069598718303729823e-01
4.000000000000000000e+00 -2.337886432714396112e-01 -4.410471144337187455e-01 2.072584711622790787e-01
