# tau E Ek EV
0.000000000000000000e+00 -1.785952317122754818e-01 -3.391455891551228286e-01 1.605503574428472913e-01
5.000000000000000000e-01 -2.169080515113933627e-01 -4.222478737690757433e-01 2.053398222576824916e-01
1.000000000000000000e+00 -2.235322984989036865e-01 -4.344988356896157256e-01 2.109665371907119003e-01
1.500000000000000000e+00 -2.276415533088537446e-01 -4.420067944257504711e-01 2.143652411168967542e-01
2.000000000000000000e+00 -2.301554573144504456e-01 -4.465701408172657039e-01 2.164146835028153970e-01
2.500000000000000000e+00 -2.316975745382708340e-01 -4.493487189797479853e-01 2.176511444414772622e-01
3.000000000000000000e+00 -2.326565407099018545e-01 -4.510623957099671455e-01 2.184058550000652632e-01
3.500000000000000000e+00 -2.332652066608856822e-01 -4.521406236865260220e-01 2.188754170256402842e-01
4.000000000000000000e+00 -2.336609458861936828e-01 -4.528355210891200633e-01 2.191745752029264360e-01
