E0 -8.254699131889549
Ek0 -11.22383601776676
EV0 2.9691368858772127
E_GS -8.556924430474698
Ek_GS -11.820101293170001
EV_GS 3.2631768626953024
nup0 [0.7107992091172918, 0.2123209553231526, 0.6158338097521965, 0.22038420911748874, 0.16874393347808997, 0.6154605553499877, 0.34304882383407587, 0.26679260331130816, 0.7275663725751325, 0.3003529798281309, 0.22062784023071727, 0.706955380524601, 0.4230500837359254, 0.5419950028313983, 0.6552048169594812, 0.2708634240310299]
ndn0 [0.2362074705480503, 0.700973251670238, 0.2938674656900545, 0.719472721871747, 0.7361037260604765, 0.19568411359413837, 0.4243316485595993, 0.5585424733842956, 0.15819779440365517, 0.4737349736765646, 0.5479531718611771, 0.14531298611403848, 0.5316756628004126, 0.37826543894954945, 0.241938468541831, 0.6577386322741791]
nup_GS [0.45905866820393376, 0.4378159204111114, 0.44105447028980693, 0.46066187278909004, 0.4346722196920435, 0.4143008344496806, 0.4151496164138654, 0.43727679695617505, 0.43816911982659534, 0.4147987920693355, 0.41361221923656377, 0.4356146340075994, 0.46015639012431203, 0.4411594512638192, 0.4383991168547234, 0.45809987741134783]
ndn_GS [0.46035339322499214, 0.4368640124624821, 0.43850745397039415, 0.46416117451996014, 0.434287844239014, 0.4141230430497288, 0.41635867174600266, 0.4354805694554173, 0.4347046897462031, 0.4166917731209709, 0.41478615613067454, 0.43327462559755753, 0.4646920369976138, 0.43838113000168066, 0.4361572326094525, 0.4611761931278584]
